ZIP,ZCTA
72438,72438
72442,72442
72021,72021
72029,72029
72069,72069
72108,72108
72134,72134
71935,71935
71957,71957
71960,71960
71961,71961
71965,71965
71966,71961
71969,71969
71970,71970
71722,71722
71828,71857
71835,71835
71857,71857
71858,71858
71864,71857
72624,72624
72628,72628
72640,72640
72641,72641
72648,72648
72655,72655
72666,72666
72670,72670
72683,72683
72685,72685
71701,71701
71711,71711
71720,71720
71726,71726
71751,71751
71764,71764
72001,72001
72016,72016
72025,72025
72070,72070
72125,72125
72126,72126
72312,72374
72328,72328
72333,72333
72342,72342
72353,72353
72355,72355
72366,72366
72367,72367
72369,72355
72374,72374
72383,72383
72389,72389
72390,72390
71922,71922
71940,71940
71943,71943
71950,71950
71952,71952
71958,71958
71959,71959
72354,72354
72365,72365
72377,72377
72386,72386
72429,72429
72432,72432
72472,72472
72475,72429
72479,72479
71932,71953
71937,71937
71944,71944
71945,71945
71953,71953
71972,71972
71973,71973
72679,72679
72801,72801
72802,72802
72811,72801
72812,72837
72823,72823
72837,72837
72843,72843
72847,72847
72856,72856
72858,72858
72017,72017
72040,72040
72041,72041
72064,72064
72066,72176
72170,72170
72002,72002
72053,72206
72065,72065
72076,72076
72078,72076
72099,72099
72103,72103
72113,72113
72114,72114
72115,72114
72116,72116
72117,72117
72118,72118
72119,72119
72120,72120
72124,72211
72135,72135
72142,72142
72164,72206
72180,72206
72183,72206
72190,72211
72199,72119
72201,72201
72202,72202
72203,72113
72204,72204
72205,72205
72206,72206
72207,72207
72209,72209
72210,72210
72211,72211
72212,72212
72214,72114
72215,72211
72216,72116
72217,72117
72219,72211
72221,72211
72222,72211
72223,72223
72225,72211
72227,72227
72231,72117
72255,72201
72295,72211
72413,72413
72444,72444
72449,72449
72455,72455
72460,72460
72462,72462
72478,72478
72322,72322
72326,72326
72335,72335
72336,72335
72340,72340
72346,72346
72348,72348
72359,72359
72372,72372
72392,72392
72394,72394
72011,72011
72015,72015
72018,72015
72022,72022
72089,72022
72122,72122
72158,72019
72167,72167
72841,72841
72926,72926
72944,72944
72950,72950
72958,72958
72636,72636
72639,72639
72645,72645
72650,72650
72669,72669
72675,72675
72686,72686
72901,72901
72902,72901
72903,72903
72904,72904
72905,72903
72906,72903
72908,72908
72913,72903
72914,72903
72916,72916
72917,72903
72918,72903
72919,72903
72923,72923
72936,72936
72937,72937
72938,72938
72940,72940
72941,72941
72945,72945
71823,71823
71832,71832
71841,71841
71842,71842
71846,71846
72482,72482
72513,72513
72521,72521
72525,72529
72529,72529
72532,72532
72542,72542
72569,72569
72577,72577
72051,72051
72533,72533
72555,72555
72560,72560
72567,72567
72657,72560
72663,72663
72680,72680
71724,71724
71730,71730
71731,71730
71747,71747
71749,71749
71750,71730
71758,71758
71759,71759
71762,71762
71765,71765
72013,72013
72028,72031
72031,72031
72088,72088
72141,72141
72153,72153
72629,72629
72701,72701
72702,72701
72703,72703
72704,72704
72717,72717
72727,72727
72728,72762
72729,72729
72730,72730
72735,72727
72737,72701
72741,72704
72744,72744
72749,72749
72753,72753
72762,72762
72764,72764
72765,72762
72766,72764
72769,72769
72770,72762
72774,72774
72959,72959
72010,72010
72012,72012
72020,72020
72045,72045
72052,72143
72060,72060
72068,72068
72081,72081
72082,72082
72085,72085
72102,72102
72121,72121
72136,72136
72137,72137
72139,72139
72143,72143
72145,72143
72149,72149
72178,72143
72006,72006
72036,72036
72059,72059
72074,72074
72101,72101
72123,72123
72824,72824
72827,72827
72828,72828
72829,72834
72833,72833
72834,72834
72838,72838
72842,72842
72853,72853
72857,72857
72860,72860
85920,85920
85924,85924
85925,85925
85927,85927
85930,85930
85932,85932
85936,85936
85938,85938
85940,85940
86028,86028
86502,86502
86503,86503
86504,86504
86505,86505
86506,86506
86507,86507
86508,86508
86511,86511
86512,86512
86514,86514
86515,86515
86535,86535
86538,86538
86540,86540
86544,86544
86545,86545
86547,86547
86556,86556
85602,85602
85603,85603
85605,85605
85606,85606
85607,85607
85608,85608
85609,85609
85610,85610
85613,85613
85615,85615
85616,85616
85617,85617
85620,85620
85625,85625
85626,85626
85627,85627
85630,85630
85632,85632
85635,85635
85636,85616
85638,85638
85643,85643
85644,85643
85650,85650
85655,85607
85670,85610
85671,85635
85931,85931
86001,86001
86002,86001
86003,86003
86004,86004
86005,86001
86011,86011
86015,86015
86016,86016
86017,86017
86018,86018
86020,86020
86022,86022
86023,86023
86024,86024
86035,86035
86036,86036
86038,86038
86040,86040
86044,86044
86045,86045
86046,86046
86052,86052
86053,86053
86336,86336
86339,86336
86351,86351
86435,86435
85135,85135
85192,85192
85501,85501
85502,85501
85532,85539
85539,85539
85541,85541
85542,85542
85544,85544
85545,85545
85547,85541
85550,85550
85553,85553
85554,85554
85530,85530
85531,85531
85535,85535
85536,85536
85543,85543
85546,85546
85548,85552
85551,85551
85552,85552
85533,85533
85534,85534
85540,85540
85922,85922
85325,85325
85328,85328
85334,85334
85344,85344
85346,85346
85348,85348
85357,85357
85359,85346
85371,85371
85001,85004
85002,85004
85003,85003
85004,85004
85005,85004
85006,85006
85007,85007
85008,85008
85009,85009
85010,85004
85011,85004
85012,85012
85013,85013
85014,85014
85015,85015
85016,85016
85017,85017
85018,85018
85019,85019
85020,85020
85021,85021
85022,85022
85023,85023
85024,85024
85025,85004
85026,85004
85027,85027
85028,85028
85029,85029
85030,85004
85031,85031
85032,85032
85033,85033
85034,85034
85035,85035
85036,85004
85037,85037
85038,85004
85039,85004
85040,85040
85041,85041
85042,85042
85043,85043
85044,85044
85045,85045
85046,85004
85048,85048
85050,85050
85051,85051
85053,85053
85054,85054
85060,85004
85061,85004
85062,85004
85063,85004
85064,85004
85065,85004
85066,85004
85067,85004
85068,85004
85069,85004
85070,85004
85071,85004
85072,85004
85073,85004
85074,85004
85075,85004
85076,85004
85078,85004
85079,85004
85080,85004
85082,85004
85083,85083
85085,85085
85086,85086
85087,85087
85097,85004
85098,85004
85127,85142
85142,85142
85190,85545
85201,85201
85202,85202
85203,85203
85204,85204
85205,85205
85206,85206
85207,85207
85208,85208
85209,85209
85210,85210
85211,85256
85212,85212
85213,85213
85214,85210
85215,85215
85216,85210
85224,85224
85225,85225
85226,85226
85233,85233
85234,85234
85236,85295
85244,85224
85246,85225
85248,85248
85249,85249
85250,85250
85251,85251
85252,85256
85253,85253
85254,85254
85255,85255
85256,85256
85257,85257
85258,85258
85259,85259
85260,85260
85261,85250
85262,85262
85263,85263
85264,85264
85266,85266
85267,85250
85268,85268
85269,85268
85271,85250
85274,85210
85275,85210
85277,85210
85280,85282
85281,85281
85282,85282
85283,85283
85284,85284
85285,85281
85286,85286
