Player,PlayersNthBuzzerBeater,Date,Year,Team,Location,Opp,Margin,Type,Assisted,AssistedGrouped,Distance,Minutes,PTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,GmSc
Maurice Cheeks,1,3/27/1992,1992,ATL,Away,MIN,0,2-pt FG,unassisted,Unassisted,19,14,6,3,5,0.6,0,0,,0,0,,2,3,1,0,6.4
Alexander Volkov,1,3/23/1992,1992,ATL,Home,GSW,-1,2-pt FG,D. Ferrell,Assisted,0,29,16,4,10,0.4,0,1,0,8,9,0.889,4,2,2,0,12.8
Hakeem Olajuwon  ,2,2/26/1992,1992,HOU,Home,GSW,0,2-pt FG,O. Thorpe,Assisted,21,43,33,11,20,0.55,0,0,,11,12,0.917,12,9,5,4,39.5
Ricky Pierce  ,2,2/20/1992,1992,SEA,Home,LAL,0,2-pt FG,N. McMillan,Assisted,20,34,19,7,19,0.368,0,2,0,5,6,0.833,6,3,1,1,9.3
Pooh Richardson  ,1,2/13/1992,1992,MIN,Away,DET,0,3-pt FG,T. Campbell,Assisted,23,46,19,9,21,0.429,1,1,1,0,0,,7,13,1,0,15.9
Detlef Schrempf,1,2/11/1992,1992,IND,Away,ORL,0,2-pt FG,unassisted,Unassisted,18,35,26,9,17,0.529,0,0,,8,9,0.889,23,3,2,0,27.9
Sam Perkins  ,2,1/15/1992,1992,LAL,Home,CHH,0,2-pt FG,unassisted,Unassisted,10,37,10,3,9,0.333,0,0,,4,6,0.667,13,2,1,2,12.2
Larry Johnson,1,1/14/1992,1992,CHH,Away,SEA,-1,2-pt FG,K. Gill,Assisted,17,48,24,10,22,0.455,0,1,0,4,4,1,13,5,2,0,16.6
Craig Ehlo  ,2,12/23/1991,1991,CLE,Home,UTA,-2,3-pt FG,B. Daugherty,Assisted,25,27,14,5,12,0.417,2,4,0.5,2,4,0.5,6,4,1,0,10.2
Johnny Dawkins,1,12/6/1991,1991,PHI,Home,POR,0,3-pt FG,R. Anderson,Assisted,27,43,23,11,20,0.55,1,4,0.25,0,0,,2,10,0,0,17.8
Sedale Threatt,1,11/27/1991,1991,LAL,Away,MIA,0,2-pt FG,unassisted,Unassisted,17,43,4,2,5,0.4,0,0,,0,0,,3,3,1,0,2.9
Tony Campbell,1,4/21/1991,1991,MIN,Away,WSB,0,2-pt FG,unassisted,Unassisted,17,39,22,8,21,0.381,1,2,0.5,5,8,0.625,5,3,1,0,11.5
Robert Parish  ,2,3/29/1991,1991,BOS,Home,CLE,0,2-pt FG,B. Shaw,Assisted,10,37,25,12,16,0.75,0,0,,1,4,0.25,15,1,0,2,25
