region_id,country_name,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year
ECS,Sweden,52608.71094,23.34,9.15,9.2,0,36.4,6.58,0,0,15.33,10285453,2205186,152012352,721671,2568154,0,1315108,4618168.5
LCN,Sint Maarten (Dutch part),0,46,7,7,12,15,13,0,0,0,37685,0,0,0,0,0,0,0
SSF,Seychelles,23302.95313,48.5,5.2,4.6,25.8,5.9,9.9,0.2,0.5,0,88303,0,0,1100,0,0,0,48000
MEA,Syrian Arab Republic,8587.050781,57,3,4,22,7,7,0,0,0,20824892,0,0,0,68000,0,4600,4500000
LCN,Turks and Caicos Islands,28174.48242,21.8,20.5,7.6,2.4,31.5,16.3,0,0,0,34900,0,0,0,0,0,0,0
SSF,Chad,1732.691284,70,1,2,18,3,6,0,0,0,11887202,0,0,8800,0,0,0,1358850.53
SSF,Togo,1404.132935,38,2,4,42,4,10,0,0,0,7228915,0,0,6400,1900,0,0,1109030.45
EAS,Thailand,16301.53809,65.52,3.04,1.85,4.74,7.6,17.59,0.46,0.8,0,68657600,82230000,1100000,384233,3445000,37400000,53868,26853366
ECS,Turkmenistan,11471.18652,16.18,4.64,11.44,62.54,0,2.19,0,3.01,0,5366277,0,0,22000,1000,32300,0,500000
EAS,Timor-Leste,3344.57373,43.6,5.5,10,9.3,10.9,16.5,4.2,0,0,1268671,0,0,3600,0,0,53.66,63875
EAS,Tonga,5636.418457,51.3,5.9,9,8.9,7.4,13.4,4.1,0,0,104951,0,0,300,0,0,102.23,17238.20175
LCN,Trinidad and Tobago,28910.9082,27.15,10.15,3.74,17.19,22.6,19.17,0,0,0,1328100,0,0,71.07,123914.1,0,250.753,727874
MEA,Tunisia,10505.2627,68,2,4,5,10,11,0,0,0,11143908,4033000,0,90000,150000,116000,16000,2700000
ECS,Turkey,28289.08789,64,2,1,24,6,3,0,0,0,83429616,0,0,623000,3432426,0,0,35374156
EAS,Tuvalu,3793.127686,43.6,5.5,10,9.3,10.9,16.5,4.2,0,0,11097,0,0,10,0,0,5.72,3989.4865
EAS,0,57362.92578,23.34,4.11,3.07,14.11,30.01,20.23,0.6,0,4.43,23434000,0,0,14036,0,0,0,7336000
SSF,Uganda,1972.301758,74.5,0.8,0.6,10.6,6,7.6,0,0,0,35093648,0,0,25000,0,0,0,7045049.836
ECS,Ukraine,11534.6377,37,5,4,22,25,7,0,0,0,45004644,8600000,1400000,277000,448000000,587000,0,15242025
LCN,Uruguay,20588.39258,53.5,3,5,7.5,20,11,0,0,0,3431552,0,0,37000,0,0,0,1260139.509
NAC,United States,61498.37109,14.9,4.4,9,3.2,26.6,12.9,9.5,6.2,13.3,326687488,0,534000000,2440000,28800000,7600000000,2600000,265224528
ECS,Uzbekistan,5164.274414,40,3,2,17.5,17.5,2.5,1.5,4,0,29774500,0,0,0,0,0,0,4000000
LCN,St. Vincent and the Grenadines,11971.99316,49.6,5.6,3.8,10.5,22.1,8.4,0,0,0,109455,0,0,900,0,0,0,31561.34925
LCN,British Virgin Islands,24215.88281,6.5,18.1,8.6,4.8,33.5,6.3,0,22.2,0,20645,0,0,0,0,0,0,21099.19
LCN,Virgin Islands (U.S.),30436.56445,46,7,7,12,15,13,0,0,0,105784,0,0,0,0,0,0,146500
EAS,Vietnam,5089.411133,61.9,2.18,0.58,15.18,5.2,12.15,0.6,3.74,0,86932496,0,0,141000,2995153.5,9600000,200000,9570300
EAS,Vanuatu,3061.787354,73.4,5.4,3.8,5.7,4.05,6.45,1.2,0,0,270402,0,0,300,0,0,139.1,70225.489
EAS,Samoa,6210.983398,42.6,2.2,8.8,19.4,7.2,13,6.8,0,0,187665,0,0,500,0,0,36.14,27399.09
ECS,Kosovo,9723.561523,42,6,6,20,8,11,0,7,0,1801800,3880,217241,23,495,0,834,319000
MEA,"Yemen, Rep.",8269.671875,65,1,6,6,7,10,1,3,1,27584212,0,0,42000,21000,0,0,4836820
SSF,South Africa,12666.60742,16.38165463,5.20021637,16.9104609,45.02064557,9.396918238,7.090104302,0,0,0,51729344,0,0,321000,1319096,0,0,18457232
SSF,Zimbabwe,3190.506592,36,5,6,3,27,23,0,0,0,12500525,0,0,13000,37346,0,0,1449752
